"lookup_key","pkgNr","pkgCode","DAP","NPK","Urea"
"E29.38N-2.45",1,"red",166,227,269
"E29.08N-2.44",1,"red",166,227,269
"E29.2N-2.43",1,"red",166,227,269
"E29.09N-2.42",1,"red",166,227,269
"E29.17N-2.42",1,"red",166,227,269
"E29.19N-2.42",1,"red",166,227,269
"E29.2N-2.42",1,"red",166,227,269
"E29.16N-2.41",1,"red",166,227,269
"E29.21N-2.41",1,"red",166,227,269
"E29.19N-2.4",1,"red",166,227,269
"E29.25N-2.4",1,"red",166,227,269
"E29.38N-2.38",1,"red",166,227,269
"E29.38N-2.37",1,"red",166,227,269
"E29.45N-2.31",1,"red",166,227,269
"E29.46N-2.3",1,"red",166,227,269
"E29.48N-2.3",1,"red",166,227,269
"E29.36N-1.64",1,"red",166,227,269
"E29.33N-1.6",1,"red",166,227,269
"E29.71N-1.41",1,"red",166,227,269
"E29.75N-1.41",1,"red",166,227,269
"E29.71N-1.39",1,"red",166,227,269
"E29.44N-2.02",1,"red",166,227,269
"E29.4N-1.91",1,"red",166,227,269
"E29.39N-1.9",1,"red",166,227,269
"E29.35N-1.85",1,"red",166,227,269
"E29.45N-1.85",1,"red",166,227,269
"E29.51N-2.39",1,"red",166,227,269
"E29.48N-2.38",1,"red",166,227,269
"E29.42N-2.36",1,"red",166,227,269
"E29.48N-2.35",1,"red",166,227,269
"E30N-1.59",1,"red",166,227,269
"E30.01N-1.59",1,"red",166,227,269
"E30.08N-1.59",1,"red",166,227,269
"E29.34N-2.66",1,"red",166,227,269
"E29.33N-2.63",1,"red",166,227,269
"E29.27N-2.59",1,"red",166,227,269
"E29.3N-2.58",1,"red",166,227,269
"E29.35N-2.56",1,"red",166,227,269
"E29.38N-2.5",1,"red",166,227,269
"E29.41N-2.5",1,"red",166,227,269
"E29.2N-2.38",1,"red",166,227,269
"E29.42N-2.79",1,"red",166,227,269
"E29.36N-2.72",1,"red",166,227,269
"E29.35N-2.71",1,"red",166,227,269
"E29.38N-2.65",1,"red",166,227,269
"E29.37N-2.63",1,"red",166,227,269
"E29.35N-2.62",1,"red",166,227,269
"E29.21N-2.61",1,"red",166,227,269
"E29.38N-2.61",1,"red",166,227,269
"E29.38N-2.6",1,"red",166,227,269
"E29.24N-2.58",1,"red",166,227,269
"E29.12N-2.49",1,"red",166,227,269
