"longitude","latitude","c_tot_top","c_tot_bottom","ca_top","ca_bottom","clay_tot_psa_top","clay_tot_psa_bottom","db_od_top","db_od_bottom","ecec_f_top","ecec_f_bottom","fe_top","fe_bottom","k_top","k_bottom","mg_top","mg_bottom","n_tot_ncs_top","n_tot_ncs_bottom","oc_top","oc_bottom","p_top","p_bottom","ph_h2o_top","ph_h2o_bottom","s_top","s_bottom","sand_tot_psa_top","sand_tot_psa_bottom","silt_tot_psa_top","silt_tot_psa_bottom","texture_class_top","texture_class_bottom","SOM_top","SOM_bottom","PWP_top","PWP_bottom","FC_top","FC_bottom","SWS_top","SWS_bottom","B_0_30","Cu_0_30","K_0_30","Mn_0_30","N_0_30","P_0_30","Ptot_0_30","province","district","AEZ","alt","slope","TPI","TRI","N","P","K","refY","Yield_pred"
29.5717,-2.81,23.5,19.6000003814697,356,244,36.2000007629395,38.7999992370605,114.900001525879,118.800003051758,7.69999980926514,7.5,107.800003051758,42.5,109,61,94,68,49718,7761,22,14.8000001907349,7.30000019073486,6.59999990463257,5.36999988555908,5.34000015258789,8.19999980926514,5.23999977111816,42.5999984741211,39.9000015258789,20.4599990844727,20.2199993133545,"clay loam","sandy clay",4.40000009536743,2.96000003814697,23.3789100646973,24.1792068481445,35.9757804870605,36.6040229797363,48.1400375366211,46.7111053466797,26,192,149,44,2388,703,442,"Amajyepfo","Nyaruguru",NA,1814,8.74194083054405,1.25,10.25,90,10,0,"Very high",37.9343531940606
29.6117,-2.81,23.3999996185303,19.7000007629395,392,243,36.9000015258789,39.4000015258789,118.099998474121,121.800003051758,7.80000019073486,7.30000019073486,106.300003051758,41.5999984741211,102,61,99,72,34115,5687,20.2999992370605,13.8000001907349,7.09999990463257,6.69999980926514,5.34000015258789,5.32000017166138,8,4.92999982833862,41.2000007629395,38.7000007629395,20.2399997711182,20.0200004577637,"clay loam","sandy clay",4.05999994277954,2.75999999046326,23.5816783905029,24.416353225708,36.2039337158203,36.8952178955078,47.9031677246094,46.711612701416,27,183,164,51,2242,588,401,"Amajyepfo","Nyaruguru",NA,1633,13.383136872954,-17.375,22.375,100,10,0,"Very low",15.2145141142869
29.6117,-2.81,23.3999996185303,19.7000007629395,392,243,36.9000015258789,39.4000015258789,118.099998474121,121.800003051758,7.80000019073486,7.30000019073486,106.300003051758,41.5999984741211,102,61,99,72,34115,5687,20.2999992370605,13.8000001907349,7.09999990463257,6.69999980926514,5.34000015258789,5.32000017166138,8,4.92999982833862,41.2000007629395,38.7000007629395,20.2399997711182,20.0200004577637,"clay loam","sandy clay",4.05999994277954,2.75999999046326,23.5816783905029,24.416353225708,36.2039337158203,36.8952178955078,47.9031677246094,46.711612701416,27,183,164,51,2242,588,401,"Amajyepfo","Nyaruguru",NA,1633,13.383136872954,-17.375,22.375,100,10,0,"Low",18.4126574355626
29.6117,-2.81,23.3999996185303,19.7000007629395,392,243,36.9000015258789,39.4000015258789,118.099998474121,121.800003051758,7.80000019073486,7.30000019073486,106.300003051758,41.5999984741211,102,61,99,72,34115,5687,20.2999992370605,13.8000001907349,7.09999990463257,6.69999980926514,5.34000015258789,5.32000017166138,8,4.92999982833862,41.2000007629395,38.7000007629395,20.2399997711182,20.0200004577637,"clay loam","sandy clay",4.05999994277954,2.75999999046326,23.5816783905029,24.416353225708,36.2039337158203,36.8952178955078,47.9031677246094,46.711612701416,27,183,164,51,2242,588,401,"Amajyepfo","Nyaruguru",NA,1633,13.383136872954,-17.375,22.375,100,10,0,"Medium",19.6930110503502
29.6117,-2.81,23.3999996185303,19.7000007629395,392,243,36.9000015258789,39.4000015258789,118.099998474121,121.800003051758,7.80000019073486,7.30000019073486,106.300003051758,41.5999984741211,102,61,99,72,34115,5687,20.2999992370605,13.8000001907349,7.09999990463257,6.69999980926514,5.34000015258789,5.32000017166138,8,4.92999982833862,41.2000007629395,38.7000007629395,20.2399997711182,20.0200004577637,"clay loam","sandy clay",4.05999994277954,2.75999999046326,23.5816783905029,24.416353225708,36.2039337158203,36.8952178955078,47.9031677246094,46.711612701416,27,183,164,51,2242,588,401,"Amajyepfo","Nyaruguru",NA,1633,13.383136872954,-17.375,22.375,100,10,0,"High",31.9498388838192
29.6117,-2.81,23.3999996185303,19.7000007629395,392,243,36.9000015258789,39.4000015258789,118.099998474121,121.800003051758,7.80000019073486,7.30000019073486,106.300003051758,41.5999984741211,102,61,99,72,34115,5687,20.2999992370605,13.8000001907349,7.09999990463257,6.69999980926514,5.34000015258789,5.32000017166138,8,4.92999982833862,41.2000007629395,38.7000007629395,20.2399997711182,20.0200004577637,"clay loam","sandy clay",4.05999994277954,2.75999999046326,23.5816783905029,24.416353225708,36.2039337158203,36.8952178955078,47.9031677246094,46.711612701416,27,183,164,51,2242,588,401,"Amajyepfo","Nyaruguru",NA,1633,13.383136872954,-17.375,22.375,100,10,0,"Very high",39.2702264889333
29.7017,-2.81,23.1000003814697,18.7000007629395,458,277,33.5999984741211,36.0999984741211,126.699996948242,129.199996948242,8.19999980926514,7.69999980926514,107,39.0999984741211,96,55,123,83,17945,2252,17.3999996185303,11.6000003814697,9.5,8.80000019073486,5.3600001335144,5.34999990463257,7.5,4.65999984741211,45.2999992370605,42.9000015258789,20.9799995422363,20.9200000762939,"silty clay loam","clay loam",3.48000001907349,2.32000017166138,21.6745738983154,22.5157833099365,33.9858818054199,34.7047462463379,46.6000061035156,45.3467292785645,27,198,163,67,1908,925,322,"Amajyepfo","Gisagara","Mayaga",1449,8.98678677538277,-5.75,12.5,0,20,0,"Very low",9.7694140315239
29.7017,-2.81,23.1000003814697,18.7000007629395,458,277,33.5999984741211,36.0999984741211,126.699996948242,129.199996948242,8.19999980926514,7.69999980926514,107,39.0999984741211,96,55,123,83,17945,2252,17.3999996185303,11.6000003814697,9.5,8.80000019073486,5.3600001335144,5.34999990463257,7.5,4.65999984741211,45.2999992370605,42.9000015258789,20.9799995422363,20.9200000762939,"silty clay loam","clay loam",3.48000001907349,2.32000017166138,21.6745738983154,22.5157833099365,33.9858818054199,34.7047462463379,46.6000061035156,45.3467292785645,27,198,163,67,1908,925,322,"Amajyepfo","Gisagara","Mayaga",1449,8.98678677538277,-5.75,12.5,0,20,0,"Low",12.272593578666
29.7017,-2.81,23.1000003814697,18.7000007629395,458,277,33.5999984741211,36.0999984741211,126.699996948242,129.199996948242,8.19999980926514,7.69999980926514,107,39.0999984741211,96,55,123,83,17945,2252,17.3999996185303,11.6000003814697,9.5,8.80000019073486,5.3600001335144,5.34999990463257,7.5,4.65999984741211,45.2999992370605,42.9000015258789,20.9799995422363,20.9200000762939,"silty clay loam","clay loam",3.48000001907349,2.32000017166138,21.6745738983154,22.5157833099365,33.9858818054199,34.7047462463379,46.6000061035156,45.3467292785645,27,198,163,67,1908,925,322,"Amajyepfo","Gisagara","Mayaga",1449,8.98678677538277,-5.75,12.5,0,20,0,"Medium",12.79874492341
29.7017,-2.81,23.1000003814697,18.7000007629395,458,277,33.5999984741211,36.0999984741211,126.699996948242,129.199996948242,8.19999980926514,7.69999980926514,107,39.0999984741211,96,55,123,83,17945,2252,17.3999996185303,11.6000003814697,9.5,8.80000019073486,5.3600001335144,5.34999990463257,7.5,4.65999984741211,45.2999992370605,42.9000015258789,20.9799995422363,20.9200000762939,"silty clay loam","clay loam",3.48000001907349,2.32000017166138,21.6745738983154,22.5157833099365,33.9858818054199,34.7047462463379,46.6000061035156,45.3467292785645,27,198,163,67,1908,925,322,"Amajyepfo","Gisagara","Mayaga",1449,8.98678677538277,-5.75,12.5,0,20,0,"High",21.3261050144793
